address,length,value
0x0001b2ea,40,_ZTVN10__cxxabiv119__pointer_type_infoE
0x0001b312,16,V_strcmp_prefix
0x0001b322,26,pa_threaded_mainloop_lock
0x0001b33c,22,nm_utils_ssid_to_utf8
0x0001b352,21,nm_setting_wired_new
0x0001b367,29,g_object_class_find_property
0x0001b384,38,udev_device_get_properties_list_entry
0x0001b3aa,8,strrchr
0x0001b3b2,9,getpwuid
0x0001b3bb,8,ungetwc
0x0001b3c3,9,closedir
0x0001b3cc,11,__lxstat64
0x0001b3d7,7,strcmp
0x0001b3de,8,sysconf
0x0001b3e6,20,ThreadResumeProcess
0x0001b3fa,25,ThreadWaitForProcessExit
0x0001b413,18,Plat_AbsoluteTime
0x0001b425,13,g_ClockSpeed
0x0001b432,11,V_strnicmp
0x0001b43d,15,XDefaultScreen
0x0001b44c,15,pa_context_new
0x0001b45b,44,nm_client_add_and_activate_connection_async
0x0001b487,19,g_quark_try_string
0x0001b49a,13,g_error_free
0x0001b4a7,18,g_idle_source_new
0x0001b4b9,18,g_quark_to_string
0x0001b4cb,6,fmodf
0x0001b4d1,11,strcasestr
0x0001b4dc,4,div
0x0001b4e0,15,TSListBase_Pop
0x0001b4ef,23,Plat_IsSteamOSGameMode
0x0001b506,35,ThreadInterlockedCompareExchange64
0x0001b529,25,Plat_AbsoluteTimeToFloat
0x0001b542,30,nm_setting_ip_config_get_type
0x0001b560,19,g_value_get_uint64
0x0001b573,6,msync
0x0001b579,7,getpid
0x0001b580,11,setcontext
0x0001b58b,6,fputs
0x0001b591,5,rand
0x0001b596,7,wcstol
0x0001b59d,22,Plat_IsInDebugSession
0x0001b5b3,17,RealGetCallStack
0x0001b5c4,28,ETW_Steamworks_IPCSend_End_
0x0001b5e0,17,BWritingMiniDump
0x0001b5f1,21,glXGetCurrentDisplay
0x0001b606,18,g_value_get_int64
0x0001b618,20,g_variant_iter_next
0x0001b62c,30,udev_monitor_enable_receiving
0x0001b64a,5,tanf
0x0001b64f,20,pthread_setspecific
0x0001b663,22,pthread_rwlock_unlock
0x0001b679,8,readdir
0x0001b681,7,stdout
0x0001b688,27,Plat_RelativeTickFrequency
0x0001b6a3,11,XSendEvent
0x0001b6ae,20,nm_ip_address_unref
0x0001b6c2,25,nm_ip_address_get_prefix
0x0001b6db,23,g_hash_table_iter_init
0x0001b6f2,15,g_source_unref
0x0001b701,18,g_dbus_proxy_call
0x0001b713,6,log2f
0x0001b719,15,pthread_create
0x0001b728,7,gmtime
0x0001b72f,7,munmap
0x0001b736,11,get_nprocs
0x0001b741,50,_ZN15AssertMsgHelperILb0EE12AssertFailedEPKcjS2_z
0x0001b773,27,Plat_GetExecutablePathUTF8
0x0001b78e,34,_ZN16SteamThreadTools7CThreadC2Ev
0x0001b7b0,21,ThreadSuspendProcess
0x0001b7c5,15,V_SplitNumbers
0x0001b7d4,14,V_JoinNumbers
0x0001b7e2,21,_XSetLastRequestRead
0x0001b7f7,10,setlocale
0x0001b801,9,_longjmp
0x0001b80a,6,fgets
0x0001b810,6,qsort
0x0001b816,7,ferror
0x0001b81d,44,_ZN16SteamThreadTools16CThreadLocalBaseC2Ev
0x0001b849,11,g_VProfile
0x0001b854,28,ThreadInterlockedExchange64
0x0001b870,20,pw_link_info_update
0x0001b884,19,g_param_spec_uchar
0x0001b897,25,g_variant_get_bytestring
0x0001b8b0,19,g_main_context_new
0x0001b8c3,35,udev_enumerate_add_match_subsystem
0x0001b8e6,36,g_dbus_proxy_call_with_unix_fd_list
0x0001b90a,19,pthread_mutex_init
0x0001b91d,21,__pthread_key_create
0x0001b932,7,mkfifo
0x0001b939,24,TSQueueBase_UnsafeDummy
0x0001b951,52,_ZN16SteamThreadTools13CThreadRWLock11WaitForReadEv
0x0001b985,40,_ZN10SteamVProf9CVProfile9MarkFrameEPKc
0x0001b9ad,22,g_variant_get_boolean
0x0001b9c3,6,fminf
0x0001b9c9,23,ThreadSetFileIOAllowed
0x0001b9e0,7,V_atof
0x0001b9e7,16,XQueryExtension
0x0001b9f7,18,alcCaptureSamples
0x0001ba09,26,nm_setting_connection_new
0x0001ba23,16,g_strv_get_type
0x0001ba33,12,g_bytes_new
0x0001ba3f,13,__strftime_l
0x0001ba4c,18,ThreadSetPriority
0x0001ba5e,17,StringFindSuffix
0x0001ba6f,17,V_IsAbsolutePath
0x0001ba80,15,XDisplayHeight
0x0001ba8f,19,nm_connection_diff
0x0001baa2,30,udev_enumerate_get_list_entry
0x0001bac0,43,g_dbus_proxy_call_with_unix_fd_list_finish
0x0001baeb,5,open
0x0001baf0,5,exit
0x0001baf5,6,ioctl
0x0001bafb,7,fileno
0x0001bb02,16,TSListBase_Init
0x0001bb12,23,TSQueueBase_UnsafePeek
0x0001bb29,15,V_UTF16ToUTF32
0x0001bb38,15,V_StripLastDir
0x0001bb47,16,XDeleteProperty
0x0001bb57,23,pa_operation_get_state
0x0001bb6e,31,nm_client_wireless_get_enabled
0x0001bb8d,19,g_value_get_double
0x0001bba0,13,g_value_copy
0x0001bbad,22,pthread_setschedparam
0x0001bbc3,9,__lxstat
0x0001bbcc,16,__vsnprintf_chk
0x0001bbdc,24,ZSTD_trace_compress_end
0x0001bbf4,45,_ZN16SteamThreadTools7CThread11SetPriorityEi
0x0001bc21,33,ThreadInterlockedExchangePointer
0x0001bc42,20,V_URLContainsDomain
0x0001bc56,7,V_atoi
0x0001bc5d,18,glXChooseFBConfig
0x0001bc6f,18,g_value_get_uchar
0x0001bc81,26,g_variant_iter_next_value
0x0001bc9b,21,g_variant_get_uint16
0x0001bcb0,35,udev_device_get_sysattr_list_entry
0x0001bcd3,5,ceil
0x0001bcd8,23,sched_get_priority_min
0x0001bcef,5,poll
0x0001bcf4,8,freopen
0x0001bcfc,13,__iswctype_l
0x0001bd09,13,__strcat_chk
0x0001bd16,17,g_pMemAllocSteam
0x0001bd27,16,V_UTF8ToUChar32
0x0001bd37,31,StringAfterPrefixCaseSensitive
0x0001bd56,14,g_value_unset
0x0001bd64,18,g_param_spec_uint
0x0001bd76,14,posix_fadvise
0x0001bd84,48,V_AggressiveStripPrecedingAndTrailingWhitespace
0x0001bdb4,18,XextRemoveDisplay
0x0001bdc6,21,XkbGetNamedIndicator
0x0001bddb,22,nm_setting_802_1x_new
0x0001bdf1,24,nm_utils_security_valid
0x0001be09,6,htonl
0x0001be0f,7,lchown
0x0001be16,15,bindtextdomain
0x0001be25,28,Plat_IsSteamOS3FactoryImage
0x0001be41,19,Coroutine_IsActive
0x0001be54,25,g_assertion_message_expr
0x0001be6d,38,g_dbus_object_manager_client_get_type
0x0001be93,10,sigaction
0x0001be9d,11,wcscasecmp
0x0001bea8,13,__towupper_l
0x0001beb5,10,getrlimit
0x0001bebf,7,access
0x0001bec6,12,ThreadSleep
0x0001bed2,33,_ZTIN16SteamThreadTools7CThreadE
0x0001bef3,15,Plat_localtime
0x0001bf02,28,Plat_CommandLineParamExists
0x0001bf1e,31,_ZN10CValidator11ClaimSocketEi
0x0001bf3d,22,nm_device_get_product
0x0001bf53,17,g_bytes_get_data
0x0001bf64,5,putc
0x0001bf69,6,ftell
0x0001bf6f,9,realpath
0x0001bf78,12,__fread_chk
0x0001bf84,6,iconv
0x0001bf8a,21,Plat_TickAddMicroSec
0x0001bf9f,21,KeyValuesSystemSteam
0x0001bfb4,22,pw_device_info_update
0x0001bfca,28,pa_threaded_mainloop_signal
0x0001bfe6,7,sendto
0x0001bfed,10,inet_aton
0x0001bff7,10,getmntent
0x0001c001,53,_ZN16SteamThreadTools13CThreadRWLock12LockForWriteEv
0x0001c036,13,V_pretifymem
0x0001c043,17,g_param_spec_int
0x0001c054,24,g_variant_type_checked_
0x0001c06c,14,g_strv_length
0x0001c07a,35,g_dbus_interface_skeleton_get_type
0x0001c09d,18,XTestFakeKeyEvent
0x0001c0af,4,tan
0x0001c0b3,5,getc
0x0001c0b8,9,shutdown
0x0001c0c1,12,Plat_timegm
0x0001c0cd,20,ETWIsTracingEnabled
0x0001c0e1,57,_ZN31CAdHocValidation_SimpleCallbackC1EPFvR10CValidatorE
0x0001c11a,30,_ZN20CUniformRandomStreamC1Ev
0x0001c138,14,XGetEventData
0x0001c146,22,g_signal_connect_data
0x0001c15c,33,g_async_result_get_source_object
0x0001c17d,22,pthread_rwlock_rdlock
0x0001c193,5,read
0x0001c198,15,__swprintf_chk
0x0001c1a7,7,memchr
0x0001c1ae,6,ctime
0x0001c1b4,9,strtoull
0x0001c1bd,19,ThreadInMainThread
0x0001c1d0,19,SpewAndLogActivate
0x0001c1e3,7,_XSend
0x0001c1ea,14,XDisplayWidth
0x0001c1f8,6,fmaxf
0x0001c1fe,6,execl
0x0001c204,6,htons
0x0001c20a,14,__longjmp_chk
0x0001c218,6,getwc
0x0001c21e,11,getifaddrs
0x0001c229,10,readdir64
0x0001c233,23,GetCrashHandlerFactory
0x0001c24a,11,V_snprintf
0x0001c255,17,DebugStatsSystem
0x0001c266,21,OSTypesAreCompatible
0x0001c27b,16,XDisplayWidthMM
0x0001c28b,6,g_log
0x0001c291,24,TSQueue_PopIntoFreeList
0x0001c2a9,31,SpewAndLogChangeIfStillDefault
0x0001c2c8,15,XRRSelectInput
0x0001c2d7,19,pa_operation_unref
0x0001c2ea,25,nm_device_get_ip6_config
0x0001c303,21,g_variant_n_children
0x0001c318,41,g_dbus_proxy_call_with_unix_fd_list_sync
0x0001c341,9,gmtime_r
0x0001c34a,8,wmemcpy
0x0001c352,8,accept4
0x0001c35a,40,_ZN16SteamThreadTools12CThreadMutexD1Ev
0x0001c382,23,_Z17GetCPUInformationv
0x0001c399,24,V_BasicHtmlEntityEncode
0x0001c3b1,27,g_type_check_instance_is_a
0x0001c3cc,5,powf
0x0001c3d1,8,fnmatch
0x0001c3d9,8,geteuid
0x0001c3e1,35,g_ClockSpeedMillisecondsMultiplier
0x0001c404,24,ThreadIsProcessIdActive
0x0001c41c,13,V_pretifynum
0x0001c429,21,pa_context_subscribe
0x0001c43e,19,pthread_mutex_lock
0x0001c451,20,__ctype_tolower_loc
0x0001c465,31,V_StripTrailingWhitespaceASCII
0x0001c484,16,glXChooseVisual
0x0001c494,8,_XReply
0x0001c49c,45,nm_client_add_and_activate_connection_finish
0x0001c4c9,8,wcrtomb
0x0001c4d1,25,nm_access_point_get_ssid
0x0001c4ea,20,g_value_get_variant
0x0001c4fe,26,udev_list_entry_get_value
0x0001c518,32,g_dbus_object_skeleton_get_type
0x0001c538,23,g_dbus_proxy_call_sync
0x0001c54f,6,exp2f
0x0001c555,6,fcntl
0x0001c55b,11,socketpair
0x0001c566,7,fscanf
0x0001c56d,16,Plat_IsChromeOS
0x0001c57d,22,ThreadIsProcessActive
0x0001c593,15,Plat_FloatTime
0x0001c5a2,40,_ZN10CValidator20ClaimUntrackedMemoryEj
0x0001c5ca,19,V_CP437CharsToUTF8
0x0001c5dd,24,V_StrTrimAsciiSpaceChar
0x0001c5f5,22,V_UnqualifiedFileName
0x0001c60b,16,XGetWMProtocols
0x0001c61b,14,XQueryPointer
0x0001c629,34,pa_context_set_subscribe_callback
0x0001c64b,20,nm_device_get_iface
0x0001c65f,31,nm_client_get_connection_by_id
0x0001c67e,21,g_variant_get_string
0x0001c693,19,g_dbus_error_quark
0x0001c6a6,4,cos
0x0001c6aa,12,sigemptyset
0x0001c6b6,10,vsnprintf
0x0001c6c0,32,GetPortableOsVersionInformation
0x0001c6e0,15,XRRGetCrtcInfo
0x0001c6ef,40,nm_remote_connection_get_secrets_finish
0x0001c717,21,g_param_spec_boolean
0x0001c72c,18,__register_atfork
0x0001c73e,16,dl_iterate_phdr
0x0001c74e,9,strftime
0x0001c757,19,sched_setscheduler
0x0001c76a,10,endmntent
0x0001c774,18,GetSpewOutputFunc
0x0001c786,10,V_strnchr
0x0001c790,30,Coroutine_IsAddressInOurStack
0x0001c7ae,16,alcCaptureStart
0x0001c7be,38,g_dbus_method_invocation_return_error
0x0001c7e4,6,asinf
0x0001c7ea,8,wmemcmp
0x0001c7f2,5,feof
0x0001c7f7,11,getsockopt
0x0001c802,15,__vfprintf_chk
0x0001c811,26,_ZN16CAdHocValidationD2Ev
0x0001c82b,10,V_wcsncpy
0x0001c835,10,V_strncat
0x0001c83f,18,XMissingExtension
0x0001c851,21,XGetWindowAttributes
0x0001c866,21,XTestFakeButtonEvent
